Approved symbol	Previous symbols	RefSeq IDs	NCBI Gene ID(supplied by NCBI)
ADAMTS4		NM_005099	9507
ADAMTS5			11096
ADAMTS6		NM_197941	11174
ADAMTS7		NM_014272	11173
ADAMTS7P1	ADAMTS7P2		390660
ADAMTS7P2			
ADAMTS7P3			400406
ADAMTS7P4			642935
ADAMTS8		NM_007037	11095
ADAMTS9			56999
ADAMTS9-AS1		NR_110150	101929335
ADAMTS9-AS2		NR_038264	100507098
ADAMTS10		NM_030957	81794
ADAMTS12		NM_030955	81792
ADAMTS13	C9orf8	NM_139025	11093
ADAMTS14		NM_080722	140766
ADAMTS15		NM_139055	170689
ADAMTS16		NM_139056	170690
ADAMTS17		NM_139057	170691
ADAMTS18	ADAMTS21		170692
ADAMTS19		NM_133638	171019
ADAMTS19-AS1			103689846
ADAMTS20		NM_025003	80070
ADAMTS21			
ADAMTSL1	C9orf94		92949
ADAMTSL2		NM_014694	9719
ADAMTSL3		NM_207517	57188
ADAMTSL4	TSRC1	NM_019032	54507
ADAMTSL4-AS1	C1orf138		574406
ADAMTSL4-AS2			100289061
ADAMTSL5	THSD6	NM_213604	339366
ADAP1	CENTA1	NM_006869	11033
ADAP2	CENTA2	NM_018404	55803
ADAR	IFI4, G1P1	NM_001111	103
ADARB1		NM_015833	104
ADARB2		NM_018702	105
ADARB2-AS1	C10orf109, NCRNA00168	NR_033387	642394
ADAT1		NM_012091	23536
ADAT2	DEADC1	NM_001286259	134637
ADAT3		NM_138422	113179
ADCK1		NM_020421	57143
ADCK2		NM_052853	90956
ADCK5		NM_174922	203054
ADCP1			106
ADCP2			
ADCR			
ADCY1	DFNB44	NM_021116	107
ADCY2		NM_020546	108
ADCY3			109
ADCY4			196883
ADCY5		NM_183357	111
ADCY6		NM_020983	112
ADCY6-DT			100506125
ADCY7			113
ADCY8	ADCY3		114
ADCY9			115
ADCY10		NM_018417	55811
ADCY10P1		NR_026938	221442
ADCYAP1		NM_001117	116
ADCYAP1R1		NM_001118	117
ADD1		NM_014189	118
ADD2		NM_001617	119
ADD3	ADDL	NM_019903	120
ADD3-AS1		NR_038943	100505933
ADDL			
ADFN			122
ADGB	C6orf103	NM_024694	79747
ADGRA1	GPR123		84435
ADGRA1-AS1	GPR123-AS1		100128127
ADGRA2	GPR124		25960
ADGRA3	GPR125		166647
ADGRB1	BAI1	NM_001702	575
ADGRB2	BAI2	NM_001703	576
ADGRB3	BAI3		577
ADGRD1	GPR133	NM_198827	283383
ADGRD1-AS1		NR_131950	105755954
ADGRD2	GPR144	NM_182611	347088
ADGRE1	TM7LN3, EMR1		2015
ADGRE2	EMR2		30817
ADGRE3	EMR3	NM_032571	84658
ADGRE4P	GPR127, EMR4, EMR4P	NR_024075	326342
ADGRE5	CD97	NM_078481	976
ADGRF1	GPR110	NM_153840	266977
ADGRF2	GPR111	NM_153839	222611
ADGRF3	GPR113	NM_153835	165082
ADGRF4	GPR115	NM_153838	221393
ADGRF5	GPR116	NM_015234	221395
ADGRF5-AS1		NR_110658	101926962
ADGRF5P1	GPR116P1		389740
ADGRF5P2	GPR116P2		441416
ADGRG1	GPR56		9289
ADGRG2	GPR64		10149
ADGRG3	GPR97	NM_170776	222487
ADGRG4	GPR112		139378
ADGRG5	GPR114	NM_153837	221188
ADGRG6	GPR126		57211
ADGRG7	GPR128		84873
ADGRL1	LPHN1	NM_014921	22859
ADGRL2	LPHH1, LPHN2	NM_012302	23266
ADGRL3	LPHN3		23284
ADGRL3-AS1	LPHN3-AS1		101927186
